# Realistic Open Star Cluster (Plummer sphere + Kroupa IMF)
# Each particle has its own distinct physical mass sampled from Kroupa IMF
# name,mass,x,y,z,vx,vy,vz
star_53,1.298759,1.08814,-1.20546,0.38101,-0.70923,0.52005,-0.11144
star_54,2.009637,-3.53775,-0.39407,1.61402,-0.26284,-0.16293,0.17933
star_55,135.707200,-0.21987,0.52091,0.16242,0.00426,0.02445,-0.01177
star_56,652.451168,0.05002,0.45098,-1.91906,-0.11865,0.57621,0.09583
star_57,3.765460,-0.57725,1.34964,0.53087,-0.38724,-0.21304,0.08756
star_58,1.060291,-4.33479,-5.01690,10.86874,-0.03526,-0.32597,-0.01354
star_59,2.725387,-6.12127,16.02633,1.13496,0.20886,-0.00064,-0.01440
star_60,6.831285,2.87422,-0.16161,1.12269,0.30835,-0.44319,-0.17801
star_61,3.930741,-2.36423,-2.44519,-1.80966,0.45601,0.36553,0.56115
star_62,2.046865,-1.67361,-4.26032,-5.65389,0.12377,-0.52036,-0.41727
star_63,8.185264,45.85448,-47.83577,74.89396,0.07768,0.00835,-0.19726
star_64,2.834008,0.60879,-0.95341,0.14189,0.20549,0.09302,-0.46333
star_65,0.854656,-0.27927,-0.06812,2.94757,-0.77976,-0.20338,-0.41432
star_66,0.627253,2.29722,-0.74824,-1.14611,0.00106,-0.02430,-0.01797
star_67,30.537578,6.53830,8.92271,-12.45081,0.17779,0.21632,-0.38197
star_68,0.634525,2.20565,-0.50077,0.60043,-0.34828,0.16443,-0.05495
star_69,2.356963,2.73772,-2.85592,-1.64982,-0.09557,0.09035,0.18925
star_70,0.752472,1.95423,4.31464,4.91812,0.36611,-0.01729,-0.13066
star_71,11.442808,-1.14715,5.87413,-0.81480,0.17198,0.18682,0.47577
star_72,1.013367,-8.24174,0.77020,1.88689,0.03439,0.04257,0.00521
star_73,23.997020,5.43220,-17.47121,-16.14575,0.06706,0.15459,0.02018
star_74,47.815960,15.14522,1.46971,1.07013,0.08901,-0.10644,0.15397
star_75,16.330255,0.94604,8.07410,1.40944,-0.00796,0.18050,0.50357
star_76,1.602472,-3.28484,-5.38236,6.72063,-0.13259,-0.14514,-0.41009
star_77,86447.146940,4.29756,-3.69154,3.64190,0.44997,0.28854,0.14228
star_78,0.859620,-8.13895,-36.38051,-0.02821,-0.28199,0.17714,0.03764
star_79,45.367310,24.21708,-1.89862,1.66364,0.06002,-0.05844,-0.00157
star_80,1.285508,-2.15306,1.63702,0.40182,-0.02646,0.01482,-0.01527
star_81,1.175743,-7.66566,-7.42582,-0.56344,-0.17839,0.28473,-0.03379
star_82,1.366265,4.78233,2.20987,-0.31954,-0.65995,0.09910,-0.35415
star_83,10526.246260,2.98385,2.43137,4.59322,0.20748,-0.13473,-0.34166
star_84,5.067119,3.42572,-2.51667,10.73028,-0.19528,0.38736,-0.04212
star_85,27.514893,0.98213,6.57384,-2.56679,0.14404,0.15178,-0.56433
star_86,2.589827,-0.29458,4.04001,-1.25798,0.37140,0.46601,0.50559
star_87,36.887250,3.82688,-0.48851,-0.57656,0.00666,-0.00351,0.01573
star_88,13.847273,-4.21823,7.10654,-1.51335,-0.04656,-0.30958,-0.23878
star_89,18.340011,-1.37466,0.86518,-2.21523,0.34948,-0.02086,-0.50645
star_90,29350.767063,0.81162,3.42275,1.91714,-0.57296,0.49475,0.28879
star_91,63.858218,-0.98042,-20.59427,5.12769,0.05452,-0.10453,0.08478
star_92,1482.711436,-0.74780,0.46796,-1.54949,-0.27071,-0.31489,0.11922
star_93,618.814573,-3.65211,4.12961,6.20991,-0.11344,0.03221,-0.01209
star_94,0.503643,0.05150,0.48627,0.42299,0.56696,-0.55158,0.17325
star_95,0.014117,3.65939,4.91989,-9.23291,-0.34618,0.14383,0.39652
star_96,12.971117,2.12335,-9.91342,-14.57653,0.05494,0.31036,-0.34210
star_97,25351.586049,3.55707,-7.88635,4.00537,0.02211,0.56957,0.22600
star_98,0.599824,-0.64214,1.53949,1.10496,0.24732,-0.22004,0.59592
star_99,0.511372,-3.29964,7.06551,-0.97700,-0.01327,0.05481,0.04284
star_100,0.021582,-8.34463,-8.84435,-6.23316,0.04683,-0.04239,-0.14841
star_101,12.399791,-0.99761,-2.47521,2.45060,0.08672,-0.05233,0.02675
star_102,38.678861,-0.70754,-3.07101,1.30886,-0.57392,-0.20509,-0.45331
star_103,0.738710,-1.33375,0.58241,-1.89835,0.04629,0.02231,0.00335
star_104,17712571.368140,-7.34604,-4.31280,-15.91692,-0.15087,0.07310,-0.10996
star_105,38.046342,-6.31613,1.48618,-2.52406,0.00268,-0.08797,0.10183
star_106,0.031986,-0.96084,-0.28863,3.70938,-0.00280,-0.03737,-0.09828
star_107,0.067535,-12.44306,-0.71355,1.53792,-0.05598,0.01878,-0.03834
star_108,3.889963,-5.42366,5.10562,7.34311,-0.03629,-0.07489,0.08712
star_109,272.968329,0.96178,4.04747,3.02312,-0.00579,-0.11411,-0.12122
star_110,0.601365,2.84429,-0.69166,-4.96029,-0.35350,-0.52863,-0.39089
star_111,8.726022,0.46552,2.54434,2.68672,0.02413,0.11452,0.84805
star_112,0.527021,-1.85460,-2.08363,2.40604,0.28717,0.04199,0.29372
star_113,0.620799,4.21100,-0.36758,-0.53511,0.02518,0.32000,0.66533
star_114,7.103851,1.67322,-2.37478,0.11838,-0.24958,-0.40111,0.25734
star_115,0.840399,-6.12878,8.15206,7.43381,-0.01907,0.15601,0.03046
star_116,0.650960,-3.53544,-3.38736,4.40724,-0.40978,0.34627,0.12154
star_117,0.011504,0.36969,5.36688,-6.84126,-0.49841,0.26435,0.08896
star_118,151.872004,0.45850,-6.35525,-4.61281,-0.12400,0.16677,-0.09029
star_119,0.514944,-1.25582,-14.54386,-25.28688,0.01768,0.29688,-0.14021
star_120,70.052256,-8.86902,-1.85141,1.72254,-0.02693,-0.07457,0.19643
star_121,0.545159,-68.51653,-5.48873,-14.86540,-0.08513,0.02418,0.05410
star_122,1.429874,-2.26041,3.04135,-8.43136,-0.13195,0.04409,0.05102
star_123,0.070576,7.66595,12.08564,4.98008,0.22855,-0.00674,0.02638
star_124,1.531283,2.72954,5.61769,-0.36355,0.09317,0.11567,0.39211
star_125,12.682947,0.42792,-1.63262,3.93317,0.14333,-0.04026,-0.21726
star_126,0.023770,0.10352,-7.43890,-11.64178,-0.00632,-0.18496,0.01887
star_127,1.058418,2.60735,5.10557,-1.15567,0.14658,0.06720,0.07250
star_128,0.501521,16.07140,16.08559,-51.23467,0.02314,-0.00121,-0.05193
star_129,15.064578,5.45360,-5.51867,1.79808,0.05646,0.04624,-0.07632
star_130,786.943368,6.81870,4.29608,-0.16259,-0.12545,0.06721,-0.08548
star_131,1.291534,2.62278,3.30309,-3.27958,0.01222,-0.11779,-0.75747
star_132,0.585344,-0.67859,3.97576,-3.10229,0.18701,-0.14662,-0.22009
star_133,7.739391,5.45674,0.91939,-1.12470,0.18164,0.12688,0.02371
star_134,2.459389,-3.48211,10.03304,-1.69761,0.40697,0.07857,0.36507
star_135,1099.191992,-5.18669,-2.87826,-8.75569,0.04344,-0.12977,-0.00021
star_136,1.201690,0.96907,0.41789,-1.17179,0.24520,-0.35169,-0.00237
star_137,0.504405,1.81507,-3.55009,1.17898,-0.58503,-0.31446,0.48531
star_138,0.939464,2.78036,0.71782,0.38191,-0.11493,0.33755,-0.20298
star_139,115.545381,1.26633,2.19741,-3.64926,0.15190,0.80695,0.05612
star_140,0.937663,6.75385,0.57344,6.98712,0.13206,-0.09270,0.02584
star_141,1.322061,2.60620,-2.41841,2.28050,0.04821,-0.18481,-0.45423
star_142,13.313858,-3.00841,5.26610,1.93470,-0.01120,-0.28981,0.31222
star_143,0.665533,0.50903,3.89831,6.68304,0.04216,0.03768,-0.09013
star_144,3.838365,-0.99185,-6.66129,-2.53226,-0.25269,0.36954,0.15430
star_145,2.960486,-0.97209,-4.42650,-9.59755,0.15938,-0.30773,-0.04832
star_146,1.068916,-1.15514,-0.42062,-1.52983,-0.29654,-0.75284,0.36321
star_147,0.803729,15.99997,21.11655,2.03251,0.03018,-0.33326,0.12573
star_148,9.262837,0.35577,3.30601,1.43222,-0.22572,0.32378,0.13003
star_149,10.431282,-0.81530,3.51327,-1.06849,0.27279,0.48007,-0.07960
star_150,30.216866,1.61786,-72.28140,-58.54802,0.00689,0.08770,-0.19916
star_151,75.050851,2.75476,-2.41738,-1.17624,-0.26933,0.06694,0.53938
star_152,21.364405,-0.91398,0.39727,-2.63581,0.39073,-0.12672,0.76371
star_153,0.036632,1.49905,-6.01285,13.25144,0.05746,0.14742,-0.22521
star_154,0.012511,2.42290,-0.72700,-1.30630,-0.02538,0.74091,0.20098
star_155,1.271623,-0.10621,1.91542,-3.85946,0.00923,-0.00270,0.00594
star_156,0.864252,6.90896,5.33496,2.28382,0.13205,0.07304,0.26367
star_157,3.250473,-1.24654,-2.02951,2.70878,-0.67871,-0.17489,0.07694
star_158,3.734889,3.19815,-2.32538,9.91423,-0.30552,-0.34218,0.21492
star_159,0.578326,-0.42111,-3.79803,2.15441,-0.18549,-0.34067,0.71177
star_160,0.639600,1.98539,-0.31531,5.09040,-0.41058,0.67364,-0.09193
star_161,0.059354,-3.27455,-0.39118,-2.66405,-0.07481,-0.31665,-0.54035
star_162,0.562561,3.13519,-1.10962,3.88263,0.34527,0.24401,-0.40395
star_163,202.749656,-14.39377,2.48536,-4.00192,-0.16697,-0.34948,0.06545
star_164,13892.863214,1.55204,-0.92014,4.48491,-0.00059,0.06054,0.02543
star_165,1268.173262,-3.34172,-0.41349,1.10732,-0.21005,0.02957,0.09047
star_166,126.362130,0.30505,-0.14711,1.58882,-0.08628,0.13961,0.45060
star_167,148.356729,0.30398,-6.03241,1.97178,-0.26438,-0.25739,-0.02977
star_168,1.217410,-9.30404,-8.69411,-1.71365,0.02777,0.02623,0.01243
star_169,1.577060,-2.41393,-1.02640,-0.82588,-0.06676,0.74198,0.04961
star_170,3837.042508,-15.50688,1.66122,-8.88273,0.13515,-0.06859,-0.17589
star_171,0.932511,18.41765,-14.54988,7.54614,-0.05879,-0.28056,0.19562
star_172,18.598290,-29.53908,20.48873,4.70126,-0.18328,-0.22380,0.10100
star_173,2.226270,5.22637,0.81175,11.00367,-0.31591,-0.00787,-0.00463
star_174,3208205.562822,-1.87370,0.65667,-3.03002,0.04708,0.06889,0.07027
star_175,50.558990,-3.41311,5.73869,4.09584,-0.46054,-0.12309,0.36139
star_176,7.688944,6.38936,-3.62804,1.68830,0.00170,-0.00021,0.00185
star_177,0.055438,-1.61988,-1.24000,8.08644,-0.21236,-0.09961,0.14698
star_178,0.710053,4.93686,0.20663,-12.02918,0.00971,-0.12461,0.00984
star_179,1.580910,-1.82426,4.29619,0.07248,0.16818,0.08100,-0.11628
star_180,6.077052,-1.10147,-2.49236,-1.45157,-0.39759,-0.53416,0.12811
star_181,3.093120,10.73235,0.20800,2.43797,-0.05392,0.00632,-0.07381
star_182,0.011718,-1.38578,-5.87451,-1.10109,-0.30976,0.04732,0.17351
star_183,0.707738,-5.43283,4.99389,-0.74063,0.05397,0.44940,0.14944
star_184,7.471758,3.11058,0.26860,-0.72999,-0.53779,0.46317,-0.11193
star_185,2.734107,-3.01357,4.54310,1.83530,-0.41047,0.61850,-0.17370
star_186,2.828254,2.54342,-1.41301,1.10042,0.04581,0.07618,0.04004
star_187,1.815244,-0.51124,0.40844,1.16151,0.00410,0.06279,0.02899
star_188,0.941340,3.31537,-5.41337,-1.14233,0.00391,0.08815,0.05389
star_189,1.108593,-1.96672,-0.72063,0.54245,0.14405,0.07863,-0.07288
star_190,3002.450809,3.63156,-0.80916,2.65907,0.34877,0.17211,-0.35735
star_191,1.459993,4.15136,3.71782,-10.38757,0.05273,-0.32886,0.27966
star_192,4.059765,-6.20065,-1.17209,-4.90049,-0.03455,0.05500,-0.00801
star_193,7.280177,0.11457,2.77901,0.09278,-0.41557,-0.58111,-0.54820
star_194,109324.849816,38.40536,-23.01369,22.96578,0.07452,0.15293,0.07820
star_195,0.993796,-6.44487,-5.14954,-4.58256,0.02839,0.00954,0.01049
star_196,7.419145,-0.60075,0.47622,0.20021,-0.13959,-0.14782,-0.23447
star_197,0.523818,-7.29479,-1.27139,-4.18726,-0.02234,-0.07213,0.05671
star_198,0.062320,4.07348,2.59356,0.24815,-0.09466,-0.21656,-0.11673
star_199,797.774087,3.03399,1.67999,0.08299,0.04257,0.20915,0.13347
star_200,7.062484,-14.05222,5.55683,21.19796,0.19910,-0.07136,-0.03502
star_201,0.988509,0.92085,1.66113,1.17145,0.34243,0.06554,-0.00483
star_202,0.555979,1.38115,-0.28054,0.17343,0.57373,-0.15306,-0.33949
star_203,603.573265,-0.35006,1.26242,1.54977,-0.24065,-0.13425,-0.07097
star_204,0.517690,-0.24306,-5.29828,3.43123,-0.34553,0.58764,0.07975
star_205,17.329090,9.71489,7.76607,-0.39184,0.10289,0.40677,-0.43865
star_206,408.481346,5.25231,-2.49760,1.09251,-0.04086,0.18628,-0.46908
star_207,0.939693,7.85640,19.63584,-11.50759,0.16390,0.36927,0.09273
star_208,0.010292,-2.70949,-3.79145,2.71502,-0.03614,-0.13650,0.03643
star_209,1.886982,3.18573,0.00404,3.86726,-0.06935,-0.33447,-0.17356
star_210,0.680434,2.25735,1.37432,0.65496,0.42669,-0.62918,0.09834
star_211,2.520128,0.14451,-1.83644,1.08555,-0.14238,-0.04843,0.02776
star_212,429.837747,2.37714,3.40336,-0.55385,0.23823,-0.04115,-0.15656
star_213,607705.815180,-10.27749,-3.12079,-0.49572,-0.02393,0.00082,-0.00471
star_214,0.640556,5.88123,0.00611,-1.73440,-0.02148,0.00872,0.03391
star_215,0.069402,5.29547,2.28499,0.59084,0.49917,0.09946,-0.49261
star_216,11.659604,-0.27964,1.58231,3.07246,0.08697,0.79341,-0.11741
star_217,0.076057,-0.59694,2.27554,-0.63193,0.02508,0.02690,-0.01063
star_218,0.026441,5.08781,-7.31274,-4.01420,0.32502,0.18442,-0.24243
star_219,0.526359,-3.02066,-1.35733,2.91174,-0.16169,0.21325,-0.09761
star_220,0.012475,3.42366,-3.17729,-0.17074,0.17012,-0.21992,0.49308
star_221,1.154004,-5.62191,-10.57956,4.71629,0.12936,0.18054,0.05746
star_222,0.028560,3.77609,-0.09846,6.13992,0.17591,0.12618,0.07828
star_223,2.420576,0.59268,18.58905,14.61719,-0.27581,0.05573,-0.18190
star_224,1.689968,-7.87777,-11.73914,-11.52464,0.01472,0.06008,-0.10154
star_225,87.546509,1.54506,1.02154,2.04939,-0.32942,0.15009,-0.15260
star_226,0.061515,-0.12714,-6.09507,2.56506,-0.13028,0.57547,0.05690
star_227,0.079654,-0.59417,2.07665,-0.19167,-0.04535,-0.49210,-0.15681
star_228,4.163871,-2.58782,1.53757,3.36789,0.20811,0.03391,0.03999
star_229,4.754027,-3.05116,-2.90945,3.12067,0.18064,-0.14416,-0.17350
star_230,51.053849,0.04060,2.05597,-0.26215,0.31204,-0.42299,0.35347
star_231,0.052979,-1.22767,-1.70042,3.51593,-0.04654,-0.53031,-0.25919
star_232,0.019769,8.34500,-2.05170,1.05105,0.15470,-0.07418,0.17245
star_233,1.153198,-2.02248,1.63449,1.70920,-0.12127,-0.40644,0.12048
star_234,1.925511,9.87305,5.06535,-0.41751,0.01927,0.12186,0.10714
star_235,0.045007,-0.51632,1.34949,0.69361,0.04144,0.01640,-0.01627
star_236,387.955136,9.26686,6.26292,2.32685,0.32173,0.37985,-0.22765
star_237,0.056471,-6.41639,-5.23735,-1.43132,-0.18870,0.48131,0.39670
star_238,3.109055,-1.43139,3.09822,2.20505,-0.50899,-0.06162,-0.20312
star_239,0.022699,-1.27608,4.77155,2.16999,0.00107,0.04747,0.00748
star_240,0.997444,-1.01354,3.30097,3.08859,-0.28740,0.50385,0.55343
star_241,1397.637869,-24.07312,10.90609,-18.19573,-0.00399,0.11348,0.11023
star_242,3.909693,-4.17516,0.63967,1.78576,-0.05535,-0.19484,-0.16752
star_243,4.037733,-2.99454,-1.38154,-0.88507,0.20965,-0.05304,-0.54338
star_244,1.048790,-2.08406,-7.40445,6.31857,0.33000,0.24270,0.21377
star_245,0.504718,-2.74693,-0.26615,-2.05077,-0.05307,0.36480,0.23465
star_246,0.812123,13.12302,12.80467,-16.91501,0.01281,-0.13783,-0.18242
star_247,1.996497,-0.18421,12.43204,2.55345,0.13148,0.22214,0.00735
star_248,0.532856,-1.01602,-0.71431,-3.48306,0.13804,0.24400,0.33552
star_249,0.595645,-2.58389,0.48805,-4.88920,0.14152,0.21197,-0.35156
star_250,5.001037,-3.83080,-5.61053,-2.90159,0.24085,-0.08813,0.16587
star_251,1952.703301,7.64246,7.75225,-0.55456,-0.08305,-0.00912,0.04707
star_252,10.007614,0.24983,-2.69395,5.44770,-0.04412,-0.01198,-0.06148
star_253,1184.802234,10.52651,1.67187,3.72220,0.02772,-0.19778,0.12629
star_254,1.987682,-9.74116,26.96337,19.95873,0.14067,-0.00131,-0.03318
star_255,0.636548,0.87695,-2.53966,1.70200,-0.13567,0.00198,-0.08625
star_256,0.567880,18.32524,18.03602,-11.42051,0.02298,-0.19679,0.00805
star_257,0.565624,-0.29894,2.79561,2.71931,0.09678,0.00155,0.04437
star_258,1.543825,-9.67392,9.40773,1.03823,-0.23421,0.44865,0.28630
star_259,1.454248,3.72841,-0.61222,3.45607,-0.35648,-0.04404,-0.17988
star_260,0.827838,1.42086,8.61097,4.09120,0.25140,-0.14939,0.11567
star_261,3.972217,10.26875,2.14307,17.08167,-0.05339,-0.12360,-0.28319
star_262,0.033923,-2.91589,1.54209,-0.47423,0.11479,0.39720,0.57274
star_263,0.075263,-0.30970,0.08910,-2.25315,0.14639,0.13899,0.25711
star_264,3.571624,2.05490,-0.67542,2.99528,0.03611,-0.07999,-0.01038
star_265,3944.025148,-0.70104,2.84774,7.37704,0.07077,0.14407,-0.01831
star_266,0.549664,-0.37383,3.54296,-0.33362,0.20132,0.17292,-0.64098
star_267,0.060041,1.30044,-5.70693,1.19504,0.22628,-0.21429,0.39835
star_268,3.302893,-11.47652,4.43503,6.14735,0.09363,-0.14772,0.14464
star_269,4.521541,5.97498,3.68784,-0.70043,0.15777,0.12587,0.18370
star_270,1.680220,-1.68856,-0.60328,-3.82545,-0.00020,0.00868,0.01772
star_271,0.711275,5.40974,-2.82286,-7.60171,0.22487,0.09674,-0.04509
star_272,11.967205,2.79868,1.30237,-0.76997,0.28175,0.08332,-0.24354
star_273,0.536601,3.11234,-0.05692,1.80403,-0.68511,-0.26292,-0.30525
star_274,0.042880,-3.32146,-40.99677,19.09510,-0.00179,-0.07000,-0.02748
star_275,0.607116,6.14486,1.30740,-8.31149,-0.05054,-0.03824,0.26714
star_276,0.075324,-8.16990,9.04472,6.88193,0.15885,-0.05289,0.15790
star_277,17.935537,-0.78171,0.53640,3.16460,-0.15390,0.07639,0.64657
star_278,0.013764,-0.82500,1.18943,1.09910,-0.07186,0.05450,-0.11429
star_279,1.063162,0.78481,0.01908,-2.29903,-0.53086,-0.09124,0.39409
star_280,0.552273,1.01821,-2.06121,3.07380,-0.05931,-0.11666,-0.01638
star_281,37.756345,6.30688,-1.49092,-2.93624,0.04126,-0.13079,0.06763
star_282,1.474620,-4.48976,18.84639,-1.16947,0.43306,0.06873,0.14731
star_283,9.493501,3.87269,1.83047,-3.46894,0.20525,0.23596,0.30244
star_284,1.689751,-0.18911,1.74633,-0.12640,0.13284,0.07930,0.34614
star_285,1.704961,15.14442,13.52227,13.55319,0.05251,0.04135,0.15428
star_286,2.564856,-4.50073,-4.58685,2.40420,0.30530,0.07398,-0.18092
star_287,0.072570,7.08226,2.37445,9.24419,0.19916,0.20031,-0.08589
star_288,68.571103,-7.97837,2.95751,3.99468,-0.02338,0.24644,-0.19183
star_289,0.683421,-3.03960,0.23937,-2.88104,0.06029,-0.21458,-0.79063
star_290,0.532459,-4.58247,-8.82330,-4.26603,-0.09591,-0.27964,0.25016
star_291,0.681435,-0.69289,-2.59274,-2.04988,0.27746,0.19253,-0.73989
star_292,1.283779,-4.25912,0.47857,7.21104,-0.25760,0.06256,0.60384
star_293,0.066538,8.01464,-0.89953,-5.32919,0.21289,-0.35990,-0.25268
star_294,0.564257,-2.27731,5.79554,-2.88197,-0.09790,0.12390,0.02149
star_295,0.519506,29.04931,6.45161,29.74183,0.13692,0.07509,-0.17657
star_296,0.060064,1.24512,6.15040,3.08250,0.24159,-0.06280,-0.18494
star_297,0.590590,-16.06108,9.58919,-9.77264,0.36023,-0.05928,-0.17526
star_298,1.841890,-2.37770,-5.62851,3.41978,0.04381,-0.18631,-0.07688
star_299,0.505032,3.67451,1.43834,6.35975,-0.34041,-0.06990,-0.24863
star_300,1844.682823,0.04487,3.19264,-2.95569,0.24871,0.13508,-0.18643
star_301,1.657947,-2.02017,0.33785,-3.97587,-0.20442,0.08595,-0.18059
star_302,0.582675,1.23898,3.92940,4.34685,-0.00081,0.01810,0.01398
star_303,0.676911,5.20431,-2.36283,1.83594,0.00722,-0.07417,0.02816
star_304,167.342606,2.28576,0.44849,4.84692,-0.04027,-0.15631,0.09577
star_305,1.769349,-9.67388,1.31463,-2.63974,0.62266,-0.13968,-0.03725
star_306,13.245734,-0.04364,-4.58531,8.99448,0.12865,-0.05559,-0.04198
star_307,0.639050,-0.73922,-2.92626,6.56954,0.04689,-0.44068,0.02811
star_308,0.688485,-2.71503,-0.13171,1.08174,0.30531,0.52406,0.48691
star_309,0.533119,3.03456,-1.32320,-0.16450,0.13651,-0.31036,0.83241
star_310,0.544340,-5.76956,-1.01770,1.58119,0.05664,0.32080,-0.27901
star_311,0.780684,4.56570,5.57576,-4.40481,-0.41757,-0.08676,0.33037
star_312,5.495801,6.72103,-6.68286,2.42978,-0.42349,0.12518,0.42940
star_313,1.143966,2.29689,5.64838,-3.08997,0.37918,-0.14290,0.26239
star_314,18.523028,3.55204,-0.75026,-4.05230,-0.11784,-0.22496,-0.07749
star_315,1.716907,-38.64313,44.32619,-16.29414,-0.13728,-0.09667,0.05340
star_316,1.231536,-0.05362,9.15754,8.54165,-0.40189,-0.18609,-0.23925
star_317,1.741783,-2.31631,2.10621,0.54405,0.16180,0.05038,0.25713
star_318,1.540283,-1.37658,9.63515,0.98096,0.24717,-0.01303,-0.18605
star_319,10.809781,0.55507,-1.18784,-3.73764,-0.08431,0.12711,0.05367
star_320,0.532013,-2.35147,2.71763,-1.80645,-0.61060,-0.13837,0.57013
star_321,1.018406,-37.65406,-25.10888,6.97035,0.08200,-0.11034,-0.27070
star_322,7.272045,0.19052,2.96661,-0.41614,0.09853,0.12951,-0.00878
star_323,0.010724,5.03050,-1.28159,1.08622,0.19193,-0.69379,-0.35786
star_324,0.826146,-2.93250,2.78973,0.53998,0.17384,-0.27571,-0.33138
star_325,8.924252,3.01471,4.54084,1.59142,0.03607,-0.32869,0.24124
star_326,0.064622,-5.22937,1.85956,-2.43570,-0.14733,0.08121,-0.09354
star_327,0.538382,1.06975,0.13740,-5.61264,-0.05463,0.10697,0.05818
star_328,0.694587,-6.94784,-7.82719,-4.54733,0.57235,0.18277,0.04760
